club,campeonatos,subcampeonatos,temporada_campeonato,temporada_subcampeonato
Colo-Colo,32,20,1937, 1939, 1941, 1944, 1947, 1953, 1956, 1960, 1963, 1970, 1972, 1979, 1981, 1983, 1986, 1989, 1990, 1991, 1993, 1996, 1997, 1998, 2002, 2006, 2006, 2007, 2007, 2008, 2009, 2014, 2015, 2017","1933, 1943, 1952, 1954, 1955, 1958, 1959, 1966, 1973, 1982, 1987, 1992, 1997, 2003, 2003, 2008, 2010, 2015, 2016, 2017"
Universidad de Chile,18,8,"1940, 1959, 1962, 1964, 1965, 1967, 1969, 1994, 1995, 1999, 2000, 2004, 2009, 2011, 2011, 2012, 2014, 2017","1957, 1961, 1963, 1971, 1980, 1998, 2005, 2006"
Universidad Cat칩lica,12,21,"1949, 1954, 1961, 1966, 1984, 1987, 1997, 2002, 2005, 2010, 2016, 2016","1962, 1964, 1965, 1967, 1968, 1989, 1990, 1994, 1995, 1996, 1997, 1999, 2001, 2002, 2007, 2009, 2011, 2013, 2013, 2014, 2015"
Cobreloa,8,8,"1980, 1982, 1985, 1988, 1992, 2003, 2003, 2004","1978, 1979, 1981, 1983, 1993, 2000, 2004, 2011"
Uni칩n Espa침ola,7,10,"1943, 1951, 1973, 1975, 1977, 2005, 2013","1945, 1948, 1950, 1970, 1972, 1976, 2004, 2009, 2012, 2017"
Audax Italiano,4,8,"1936, 1946, 1948, 1957","1934, 1935, 1938, 1940, 1944, 1947, 1951, 2006"
Magallanes,4,4,"1933, 1934, 1935, 1938","1936, 1937, 1942, 1946"
Everton,4,2,"1950, 1952, 1976, 2008","1977, 1985"
Santiago Wanderers,3,4,"1958, 1968, 2001","1949, 1956, 1960, 2014"
Palestino,2,4,"1955, 1978","1953, 1974, 1986, 2008"
Huachipato,2,0,"1974, 2012",
Santiago Morning,1,2,1942,"1939, 1941"
Cobresal,1,2,2015,"1984, 1988"
O'Higgins,1,1,2013,2012
Green Cross,1,0,1945,
Uni칩n San Felipe,1,0,1971,
